"","TLEVISA","WALMEX","SANMEX","PINFRA","PENOLES","ICA","OHLMEX","MEXCHEM","LIVEPOL","LALA","LAB","KOFL","KIMBER","IENOVA","ICH","GRUMA","GMEXICO","GFREGIO","GFNORTE","GFINBUR","GENTERA","GCARSO","FEMSA","GAP","CEMEX","ELEKTRA","BIMBO","ASUR","AMX","ALSEA","AC","ALFA"
"33",64.45,36.37,42.36,116.04,469.07,33.82,39.99,61.13,152.76,26.79,26.79,193.24,40.02,48.85,96.55,64.28,42.32,70.8,89.99,32.51,18.92,69.49,139.55,64.2,13.42,546.25,38.16,142.04,12.13,36.7,101.69,28.53
"34",64.45,37.03,41.85,115.78,470.7,33.8,39.82,60.37,150.29,27.09,27.09,193.74,39.43,48.41,93.81,62.81,42.17,70.42,89.87,32.74,19.01,70.09,139.68,64.01,13.34,544.61,37.49,142.22,12.2,36.69,101.96,28.21
"35",64.71,36.75,42,117.02,470.01,34.44,39.47,60,153.5,27.09,27.09,195.69,39.3,47.99,92.1,63.99,42.4,72.3,92.98,33.23,19.02,70.45,142.26,64.2,13.59,523.1,38.4,144,12.06,36,101.49,28.05
"36",65.36,35.99,41.24,117.18,469.63,33.47,37.81,58.81,151.57,27.01,27.01,199.55,40.25,48.46,93.04,66.51,41.95,71.93,90.69,33.31,19.59,70.12,142.48,63.51,14,513.34,38.04,144.44,12.14,36.64,102.05,28.63
"37",65.48,36.32,41.72,114.35,447.1,33.48,38.45,58.27,151.56,27.87,27.87,194.34,39.73,49.01,92.91,63.94,41.44,74.12,89.96,32.31,19.57,69.03,142.61,63.51,14,502.63,37.58,143.93,12.14,36.64,103.81,29.02
"38",66.37,36.58,41.84,114,435.42,33.03,38.44,57.09,152.53,28.4,28.4,194.56,39.97,49,91.34,60.42,41.26,73.9,91.51,31.67,19.92,69.85,142.62,63.46,14.07,495.71,37.55,145.01,12.1,36.49,104.35,29.31
"39",66.5,36.1,41.43,113.59,420.14,30.41,38.69,54.44,146.97,28.19,28.19,192.78,39.85,48.96,91.22,58.61,39.97,72.84,90.37,30.1,18.9,66.83,140.29,61.82,13.76,476.79,36.28,143.74,12.07,36.4,102.57,28.09
"40",64.75,36.03,40.22,110.56,424.67,28.02,38.26,54.04,145.97,27.37,27.37,189.28,40.42,47.69,90.82,59.9,39.52,71.68,88.71,30.54,19.09,66.24,135.47,62.8,13.49,460.66,37.21,142.49,11.93,35.83,100.92,27.41
"41",63.85,36.31,38.85,110.84,423.34,25.76,38.03,55.69,149.96,27.03,27.03,187.59,39.9,46.02,90.06,61.63,39.73,70.31,84.77,29.38,19.58,65.82,131.09,61.25,13.19,446.55,36.69,142.41,11.94,35.01,97.67,26.94
"42",65.15,37.17,37.4,111.52,436.62,26.01,37.99,56.24,148.37,26.89,26.89,191.92,41.23,45.59,94.03,59.78,39.26,72.21,83.56,27.31,19.75,68.7,136.63,63.06,13.16,450.57,36.99,144.79,11.9,34.59,100.08,28.26
"43",64.72,37.15,37.48,114.62,427.36,25.24,36.74,56.35,151.73,25.99,25.99,189.27,40.91,46.25,93.38,59.95,39.44,74.7,86.88,27.53,19.71,67.21,134.48,63.08,13.27,447,36.24,145.06,11.9,33.27,99.93,28.82
"44",63.7,36.86,37.83,113.93,429.06,25.39,34.22,56.64,152.88,26.31,26.31,188.82,40.9,46.34,94.05,59.75,39.2,73.92,83.82,27.89,19.94,66.31,132.8,61.18,13.13,447.2,36.01,145.93,11.75,34.35,100.15,28.85
"45",64.9,36.67,38.86,116.2,449,24.75,33.92,57.5,152.97,26.91,26.91,191.68,40.12,46.47,90.47,59.12,40.73,75.79,84.45,27.7,20.12,68.96,135.36,63.03,13.22,452.78,37.62,147.31,12.1,34.51,100.03,29.29
"46",66.01,36.04,39.54,115.64,452.87,23.64,33.8,56.92,149.49,27.15,27.15,186.09,41.29,46.42,90.79,58.9,41.69,74.94,82.2,28.45,20.7,68.43,135.3,62.96,13.29,466.97,36.91,147.74,11.94,35.27,99.41,29.36
"47",66.56,36.57,39.84,115.86,461.61,25.1,34.97,57,148.73,27.02,27.02,187.98,41.35,46.69,90.08,58.8,41.69,76.02,80.3,28.7,20.72,69.74,136.99,63.01,13.67,474.21,37.48,149.64,12.13,35.05,99.18,29.08
"48",66.86,37.72,41.21,116.79,485.28,23.15,34.51,58.76,150.19,27.16,27.16,186.81,42.87,47.42,91.32,57.23,42.31,76.35,81.75,29.32,20.7,67.13,139.28,63.8,13.8,471.47,37.83,152.29,12.2,34.8,100.96,30.16
"49",66.3,37.08,41.9,117.1,479.17,23.18,33.18,58.02,149.73,26.27,26.27,184.78,41.69,46.84,89.1,58.74,41.79,75.43,85.02,28.44,20.51,66.98,138.32,62.86,13.22,484.96,37.6,148.7,11.92,36,98.87,29.37
"50",65.19,36.4,40.98,116.03,479.36,23.25,34.11,56.78,147.67,26.25,26.25,184.72,41.82,46.68,89.93,58.3,41.96,74.48,85.5,29.2,20.39,66.56,135.48,62.89,12.89,481.39,37.69,148.33,11.91,35.69,97.04,28.7
"51",62.36,36.33,39.84,114.97,474.86,22.75,34.4,55.1,144.52,26.48,26.48,180.4,40.34,46.72,85.37,57.98,41.3,72.88,85.44,29.34,20.6,65.22,133.47,61.2,12.67,465.48,37.03,145.67,11.92,35.98,95.25,28.71
"52",61.93,36.91,39.32,116.39,468.7,22.7,34.25,56.54,146.63,26.93,26.93,184.11,40.67,48.44,86.17,57.78,41.14,72.4,85.36,29.58,21.11,64.51,133.08,61.91,12.84,461.05,37.13,148.81,12.17,35.18,95.98,29.66
"53",61.46,36.4,39.55,116.1,452.92,22.7,33.33,55.81,146.38,27.06,27.06,184.33,40.13,49.85,83.97,56.04,39.96,71.92,82.32,28.41,21.71,62.98,132.31,60.18,12.93,474.13,36.88,146.87,12.22,34.8,97.96,29.41
"54",61.17,36.26,40.63,117.07,477.53,23.28,33.99,55.7,148.99,27.29,27.29,187.33,41.75,49.34,86.73,57.38,39.75,72.51,84.87,28.67,22,64.95,132.45,62.09,13.07,495.22,38.22,145.78,12.35,35.5,99.48,30.2
"55",61.28,35.76,38.77,116.39,447.73,22.92,33.85,55.02,149.21,27.16,27.16,185.38,41.67,49,88.45,56.97,38.03,70.33,81.55,27.65,21.6,64.92,129.72,60.35,12.47,481.73,37.51,146.5,12.17,34.55,98.18,30.15
"56",60.32,36,37.53,116.86,438.46,22.02,33.66,53.06,148.23,26.4,26.4,183.21,41.77,49.16,85.84,56.65,36.97,70.22,78.07,27.35,21.45,63.53,130.68,57.96,12.24,489.36,37.22,140.23,12.21,34.85,98.76,29.59
"57",60.18,36.29,38.33,116.85,450.18,21.92,33.48,53.81,150.28,26.98,26.98,184.32,41.72,48.82,86.16,56.87,36.9,70.25,77.33,27.64,21.22,63.32,128.94,56.65,12.43,493.12,37.32,137.52,12.08,34.68,98.5,29.62
"58",60.23,36.2,38.3,117.3,440.44,21.51,33.35,53.77,149.3,27.09,27.09,183.3,40.86,48.97,83.55,57.01,37.06,68.85,75.46,27.84,21.46,62.49,128.24,55.34,12.32,480.99,36.48,143.01,12.12,34.3,98.58,29.14
"59",61.06,36.33,37.86,120.47,444.95,21.2,33.55,53.52,149.5,26.57,26.57,183.78,41.45,51.08,83.68,57,37.81,66.75,77.94,28.4,21.17,62.63,130.55,55.31,12.22,488.37,36.51,142.08,12.2,34.12,98.76,28.81
"60",61.19,36.45,37.89,121.54,431.75,21.67,33.43,52.32,148.03,26.56,26.56,182.39,40.89,50.98,81.77,57.03,37.64,67.04,75.75,29,21.02,62.18,128.95,55.4,12.55,479.33,35.9,140.92,12.31,33.6,98.12,28.9
"61",61.91,35.99,37.18,121.99,417.63,21.9,31.03,51.54,148.33,26.03,26.03,182.16,40.33,49.88,80.7,56.9,37.18,68.58,73.85,27.71,20.52,58.9,129.07,54.7,12.79,461.69,35.02,138.2,12.22,32.29,98.96,28.17
"62",60.31,34.65,35.47,118.02,372.48,21.99,29.84,51.65,138.51,24.23,24.23,179.2,37.85,47.71,76.21,56.62,35.05,66.8,70.18,26.29,20.09,57.72,124.21,53.84,12.32,423.99,34.12,133.76,11.88,32.28,93.35,27.12
"63",59.78,34.96,36.77,117,409.54,23.59,28.61,53.35,142.55,25.57,25.57,170.96,40.86,47.46,78.47,59.14,35.52,69.68,72.2,27.76,20.45,59.54,122.47,54.97,12.15,426.28,35.57,137.68,11.96,31.5,93.4,28.66
"64",59.14,34.2,34.97,116.72,394.93,23.02,29.43,52.43,137.94,25.94,25.94,171.99,39.51,46.65,76.06,58.46,35.28,67.68,71.18,27.09,20.2,56.45,121.59,53.26,11.83,420.08,34.64,134.98,11.97,30.55,95.71,27.95
"65",59.83,34.18,35.63,113.65,384.07,22.24,29.68,51.89,140.41,25.59,25.59,170.37,39.28,47.92,74.93,57.69,35.03,68.87,73.59,26.32,20.87,56.07,122.74,57.3,12.24,430.23,34.68,136.56,12.19,29.5,95.81,28.97
"66",62.78,34.53,35.73,116.24,372.09,23.67,29.96,52.68,145.57,26.11,26.11,174.37,39.38,47.64,75.16,58.45,35.59,67.36,73.41,26.9,20.88,56.7,128.21,59.85,12.67,436.36,35.82,138.11,12.55,28.64,97.21,30.57
"67",62.85,35.58,36.67,117.96,371.73,24.12,30.48,53.36,146.05,25.94,25.94,176.09,39.19,46.87,79.3,58.78,36.59,66.36,76.1,27.38,21.57,57.55,131.62,58.96,12.76,432.89,37.46,140.99,12.99,28.45,99.34,30.53
"68",64.75,36.48,37.01,118.99,391.64,24.47,31.26,53.99,152.46,25.47,25.47,182.46,41.09,46.67,85.55,58.82,37.48,68.93,76.72,28.62,22.32,61.09,134.31,61.75,12.72,428.95,39.25,144.23,13.41,30.46,99.27,31.24
"69",64.05,37.11,37.31,118.53,434.48,25.28,33.06,56.2,154.95,25.73,25.73,183.82,42.21,48,86.02,59.97,38.2,70,77.86,29.84,23.28,63.22,134.38,61.13,12.86,438.78,40.34,146.69,13.55,31.3,99.93,31.17
"70",63.79,36.88,37.24,123.72,414.03,24.35,34.62,56.89,156.44,26.16,26.16,183.32,42.55,48.4,85.94,59.9,38.12,70,75.86,29.98,22.57,61.71,133.71,61.8,12.49,444.76,39.27,148.98,13.41,32.3,99.34,30.7
"71",62.88,36.74,36.19,125.44,420.56,25.12,34.99,57.57,159.54,26.04,26.04,186.76,43.1,48.29,87.66,59.47,39.28,70.99,74.86,30.49,22.31,61.69,134.36,61.71,12.5,451.97,40.35,151.01,13.19,32.4,98.63,31.07
"72",64.3,37.11,36.76,126.03,425.68,25.63,34.8,57.95,160,26.17,26.17,185.93,43.1,47.9,87,59.99,39.54,70.99,76.37,31.16,22.98,61.68,135.12,60.83,12.66,453.54,41.05,151.35,13.27,32.5,98.22,31.28
"73",64.09,36.93,35.69,125.9,407.94,24.98,34.55,56.44,154.73,26.27,26.27,181.25,42.98,49.73,83.47,59.75,38.49,71.21,74.42,31.17,23,60.32,134.3,59.76,12.58,458.8,39.44,149.9,13.09,33.32,98.05,30.87
"74",62.24,36.44,34.1,127.03,407.67,23.75,34.4,54.54,154.64,26.05,26.05,181.73,41.23,50.28,84.33,59.67,37.71,72.2,74.01,30.9,23.14,61.12,132.28,60.37,12.43,465.67,39.89,149.47,12.83,33.14,97.52,31.07
"75",65.68,36.06,34.23,126.48,402.31,23.35,34.33,53.01,152.03,25.47,25.47,179.87,41.85,49.98,81.62,60.09,37.24,72.21,74.9,30.81,23.15,59.44,132,60.39,12.55,473.72,39.9,150.51,12.96,33.4,95.82,31.74
"76",63.88,36.07,34.6,126.83,400.51,23.45,34.03,52.86,157.55,26.48,26.48,178.23,42.11,50.34,82.07,59.24,37.17,72,73.02,30.26,23.13,60.95,130.21,60.37,12.57,479.66,38.63,148.87,12.98,33.4,95.73,31.44
"77",65.1,36.72,34.56,128.42,425.55,23.94,34.54,53.34,157.3,27.01,27.01,181.68,41.79,51.17,82.72,59.3,38.67,71.11,73.23,30.67,22.33,61.98,131.08,60.93,13.15,482.86,39.5,147.05,12.99,33.2,96.15,31.36
"78",65.24,35.99,33.99,130.96,400.38,24.7,35.05,52.94,156.52,27.87,27.87,181.45,40.66,51.86,81.47,59.07,38.52,72.05,72.66,29.92,21.31,61.51,131.39,61.68,13.41,480.64,40.49,147.11,13.04,33.18,95.9,31.47
"79",64.57,36.37,34.16,133.29,400.52,25.5,35.33,53.58,156.4,28.12,28.12,177.73,42.21,53.36,84.15,58.19,39.11,73.15,72.34,29.34,21.15,61.95,129.42,60.77,13.21,473.21,41.5,144.67,12.98,32.61,95.7,32.25
"80",63.46,35.91,34,131,404.93,24.89,35.2,53.88,149.71,28.06,28.06,175.08,40.6,51,84.94,58.32,39.11,72.7,72.21,28.9,21.78,60.45,126.68,60.71,12.92,461.93,39.83,143.97,12.56,32.4,95.55,31.99
"81",64.39,35.22,36.26,127.07,404.24,24.45,35.1,54.77,150.16,28.82,28.82,175.98,41.94,48.78,85.27,58.83,40.22,72.76,79.73,29.89,21.43,61.69,128.67,62,13.04,464.78,41.63,145.24,12.47,32.39,94.84,32.65
"82",64.61,34.69,36.26,130.58,402.32,23.95,35.14,54.65,142.87,29.34,29.34,176.01,41.28,49.65,82.15,59.59,40.84,72.88,79.88,30.04,21.36,63.17,127.88,60.82,13.15,468.35,41.43,144.46,12.63,34.5,95.37,32.38
"83",63.7,35.18,35.16,129.68,396.51,23.3,35.29,54.19,141.5,29.05,29.05,172.35,40.38,50.86,81,59.27,39.61,73.62,82.39,29.18,20.8,62.04,126.81,59.43,13.18,462,40.78,148.02,12.41,35.42,94.08,32.15
"84",63.95,35.02,35.5,129.39,405.12,23.96,35.61,56.25,143.32,28.73,28.73,171.68,40.74,50.44,80.16,59.98,40.34,74.04,82.95,30.35,20.44,61.68,126.11,58.62,13.31,459.74,39.98,142.81,12.58,35.24,96.05,31.52
"85",64.95,35.53,36.46,128.41,419.52,24.48,36.07,56.86,147.61,28.88,28.88,178.88,41.39,49.96,83.15,60.93,40.86,73.34,82.62,30.94,21.74,63.56,128.92,59.28,13.26,467.03,41.31,145.18,12.69,35.7,97.05,33.17
"86",65.82,35.97,37.27,128.64,424.19,25.1,36.62,57.72,145.51,28.75,28.75,178.31,41.03,50.06,84.5,61.4,40.21,74.24,81.37,30.83,23.04,64.07,128.81,59.43,13.29,459.28,42.55,148.71,12.6,36.5,97.55,33.26
"87",66.38,35.53,36.19,128.48,414.94,24.25,35,57.86,144.71,30.05,30.05,181.66,41.15,49.97,85.32,63.48,40.07,76.46,82.12,30.41,24.27,63.53,127.17,60.23,13.48,464.99,42.75,149.56,12.54,36.5,97.86,32.91
"88",66.72,35.88,35.77,129.05,413.16,23.8,34.79,58.09,145.96,29.39,29.39,184.01,40.85,49.96,86.3,64.95,39.2,75.52,81.49,30.17,24.25,63.12,127.09,61.17,13.66,464.49,43.74,150.8,13.09,36.33,98.49,32.58
"89",66.9,35.01,35.21,128.86,401.24,24.4,33,56.83,144.22,29.56,29.56,178.95,40.73,49.79,84.38,64.12,38.73,77.6,80.49,29.66,24.83,61.37,125.85,61.34,13.44,462.88,42.86,149.02,12.66,36.2,96.17,32.14
"90",67.59,34.89,35.2,132.17,402.88,26.19,32.35,57.01,144.78,29.87,29.87,177.6,40.26,50.06,82.41,66.89,38.4,75.94,80.38,29.56,23.87,61.55,125.9,61.08,13.41,467.24,42.99,149.26,12.55,35.99,96.37,32.13
"91",69.07,34.95,37.04,133.24,401.45,26.99,33.84,59.77,147.35,29.95,29.95,180.41,41.21,50.57,81.95,67.66,39.35,77.4,81.15,29.95,23.12,63.59,127.38,62.56,13.61,462.88,43.2,151.48,12.76,35.86,95.66,32.79
"92",69.72,35.63,37.81,138.47,421.35,27.23,34.89,61.2,152.14,29.97,29.97,185.11,42.03,52.08,84.55,69.05,41.09,81.69,83.42,30.4,23.95,63.99,131.93,65.71,14.09,471.63,45.43,154.63,12.92,35.7,96.7,34.07
"93",70.38,35.62,38.39,140.41,442.45,27.65,34.99,62.4,155.83,29.68,29.68,186.53,42.59,54.94,87.48,68.99,41.26,81.51,84.54,30.97,23.79,65.56,132.21,67.53,13.99,482.9,45.62,156.65,12.66,36.48,99.11,35.06
"94",69.51,34.83,38.85,139.35,443.12,27.02,34.81,62.14,153.6,29.88,29.88,189.32,42.23,54.84,86.57,69.25,40.72,80.81,83.71,30.92,23.2,64.75,131.26,66.46,14.12,486.28,45.43,156.66,12.82,36.99,98.95,34.86
"95",69.82,34.42,39.11,143.51,409.42,27.54,35.4,62.91,153.63,29.66,29.66,186.56,41.98,55.37,85.51,69.75,40.15,80.11,84.34,30.58,23.3,63.63,131.94,66.62,14.13,495.05,44.74,155.47,12.89,36.16,97.62,36.16
"96",69.89,35.05,40.05,142.31,417.4,28.69,35.95,63.17,156.64,29.31,29.31,186.92,40.81,55.05,86.11,69.11,40.1,80.2,85.11,30.46,23,63.82,132.08,67.21,13.97,491.26,45.13,154.16,13.17,36.36,97.28,37.05
"97",70.47,34.81,41.08,143.52,420.77,29.08,36.31,64.14,156.4,29.4,29.4,186.9,41.49,54.82,85.87,69.25,41.55,80.02,87.28,30.69,23.07,66.62,131.46,67.17,14.3,500.88,45.49,157.73,13.37,36.91,96.14,37.33
"98",72.58,35.23,41.67,144.27,420.49,29.18,36.11,64.64,156.91,29.4,29.4,186.33,41.06,54.5,86.2,70.14,42.32,81.07,89.67,30.78,22.85,65.9,134.05,67.12,14.21,510.95,45.8,159.39,12.62,37.5,96.06,37.49
"99",72.63,34.64,40.75,145.28,442.59,29.71,35.43,62.9,152.74,29.39,29.39,184.46,41.18,53.98,86.32,69.05,43.87,81.04,85.91,30.71,22.69,66.85,129.25,66.79,14.24,508.86,44.61,156.82,12.52,37.54,93.8,35.89
"100",71.46,35.2,41.23,143.91,469.58,29.78,34.92,63.37,152.35,30.11,30.11,181.57,41.82,53.44,84.97,68.87,45.96,85.24,85.82,30.9,22.76,67.96,128.98,67.91,14.6,489.95,44.31,158,12.54,37.61,92.25,35.91
"101",70.89,35.06,40.84,141.98,480.77,30.42,35.03,62.61,151.85,30.27,30.27,182.62,41.86,52.56,85.73,67.39,46.5,83.88,84.25,31.83,22.66,68.87,128.7,69.02,14.67,482.47,44.29,157.5,12.54,36.77,93.1,36.87
"102",70.54,35.54,39.84,138.57,474.41,29.27,34.6,62.06,149.96,30.11,30.11,181.5,40.8,51.51,84.43,66.91,44.79,79.76,83.79,31.63,22.36,67.46,127.27,66.5,14.36,476.17,43.45,156.66,12.6,36,91.95,37.41
"103",71.02,35.57,39.67,137.62,475.84,29.11,35.44,63,149.6,30.57,30.57,180.74,40.17,51.59,83.66,67.75,43.98,79.67,83.71,31.22,22.83,67.75,126.13,65.23,14.4,470.39,42.71,152.25,12.61,35.89,92.03,37.16
"104",70.49,34.06,38.91,131.02,457.4,28.29,35.46,61.71,146.8,30.83,30.83,185.26,40.43,50.42,82.68,67.8,41.94,80.55,84.34,29.96,23.15,68.27,130.59,64.76,14.62,474.62,41.03,153.85,12.25,35.29,91.28,36.56
"105",71.49,34.35,38.82,131.81,458.13,29.66,35.63,61.74,143.92,30.77,30.77,181.43,40.14,51.19,80.05,68.54,43.54,79.97,84.11,30.05,23.67,68.99,129.22,64.92,14.69,462.95,40.94,151.35,12.61,35.52,91.14,37.1
"106",71,33.56,39.82,132.53,436.46,29.34,35.98,60.97,144.04,30.36,30.36,180.38,39.56,52.8,79.42,69.83,42.77,79.84,84.16,29.72,24,67.64,128.66,65.76,14.64,461.6,39.75,150.96,12.59,34.76,89.96,36.1
"107",69.99,34.03,39.06,133.93,421.66,28.68,35.18,59.17,138.49,30.11,30.11,176.26,38.74,52.15,78.04,70.99,41.71,79.81,82.8,30.09,24.41,68.32,126.23,64.89,14.71,448.42,40.02,149.1,12.51,33.94,88.71,35.71
"108",69.78,34.01,39.24,135.85,434.66,29.02,35.21,59.48,138.04,30,30,175.34,38.23,51.41,77.25,71.04,42.03,79.78,82.54,30.01,23.87,68.47,126.73,63.15,14.59,444.45,40.01,148.39,12.38,33.6,90.29,35.56
"109",70.75,33.15,39.02,136.33,425.95,27.87,35.22,58.36,138.01,29.66,29.66,173.92,36.83,50.51,75.7,71.05,40.94,79.87,82.78,29.01,22.93,66.18,126.07,62.85,14.24,439.39,38.63,148.87,12.35,34.24,90.07,34.59
"110",68.09,32.09,37.13,133.97,452.05,26.82,34.59,56.14,137.73,28.27,28.27,172.08,36.86,50.01,75.84,70.49,39.89,78.8,81.52,28.11,23.16,65.15,124.29,62.99,13.81,427.21,37.35,146.61,12.29,34,88.83,33.65
"111",67.67,32,37.17,131.19,445.68,27.05,33.79,55.22,133.85,27.38,27.38,167.76,35.9,49.89,75.12,69.43,39.42,80.01,82.44,27.14,22.88,64.16,123.61,61.44,13.77,417.97,37.11,144.41,12.18,33.6,85.53,32.44
"112",68.71,31.42,36.81,129.23,423.58,27.64,34.57,54.71,134.04,28.8,28.8,165.63,35.07,49.61,76.15,69.74,38.87,80.11,81.85,27.27,22.85,64.2,123.74,61.06,13.8,423.31,37.1,147.46,12.16,34.29,83.19,33.52
"113",67.04,32.04,36.39,130.36,407.8,27.45,34.75,53.2,140.14,28.64,28.64,159.17,37.15,49.71,76.78,69.11,38.2,79.42,83.49,28.48,23.43,65.98,126.48,62.69,14.03,436.35,38.85,149.95,12.21,34.5,84.59,33.75
"114",68.33,32.68,37.37,134.96,421.59,27.88,35.22,56.2,138.8,28.16,28.16,166.06,37.38,50.67,76,68.63,39.84,78.45,83.5,29.68,23.74,67.32,128.32,63.49,14.29,436.54,39.02,150.93,12.29,34.35,87.33,34.1
"115",67.88,32.25,35.82,132.66,411.65,27.5,34.68,55.6,137.18,28.24,28.24,163.95,35.98,49.78,74.28,69.65,39.15,77.96,80.97,29.66,24.35,66,126.6,63.44,13.93,424.17,38.5,149.88,12.25,34.35,84.16,33.55
"116",67.89,32.2,36.42,129.48,404.21,27.06,34.74,57.02,134.96,28.88,28.88,163.78,37.49,51.05,73.95,69.92,39.56,78.08,80.31,30.06,25.29,66.4,127.36,63.98,13.76,421.01,39.89,152.89,12.28,33.72,85.34,35.01
"117",68.77,32.01,36.13,125.37,407.32,26.65,34.13,56.57,133.39,28.86,28.86,167.18,36.56,50.91,75.04,71.53,38.89,78.03,80.17,29.35,24.66,66.62,128.62,64.18,13.76,420.89,39.11,150.83,12.31,33.81,83.91,34.86
"118",71.41,32.31,35.87,125.67,408.29,26.67,34.26,56.37,136.92,28.39,28.39,169.31,37.37,50.31,74.19,73.6,38.55,77.22,80.91,29.87,23.63,67,130.39,64.79,13.9,425.46,38.59,149.93,12.09,33.8,84.87,35.99
"119",72.33,34.09,37.1,131.71,419.58,28.13,36.05,57.97,142.29,28.98,28.98,169.54,39.03,52.07,78.35,75.28,39.71,80,84.05,30.68,23.64,69.11,132.08,64.59,13.93,435.77,41.56,155.38,12.34,34.2,85.73,36.98
"120",72.78,34.94,37.11,131.83,423.67,28.87,35.54,59.76,145.55,28.86,28.86,171.51,39.96,51.83,79.28,77.46,40.52,79.64,86.9,31.09,24.5,70.46,132.88,64.31,14.2,455.51,42.92,156.71,12.56,36.19,88.28,39.09
"121",72.57,35.04,36.94,130.63,441.75,28.64,36.1,59.95,147.35,28.4,28.4,174.98,39.66,52.11,78.61,76.05,41,77.71,84.82,31.27,24.17,70,132.64,64.23,14.22,454.2,42.99,152.87,12.62,36,87.96,37.75
"122",71.09,34.5,36.17,125.71,419.7,27.74,35.86,59.5,143.17,27.94,27.94,174.09,38.11,51.79,76.3,73.91,39.73,75.42,81.56,30.15,23.68,68.96,131.28,63.86,13.95,438.81,41.77,150.11,12.44,35.8,87.82,36.9
"123",72.55,34.79,36.64,126.04,405.4,28.12,36.28,60.38,145.89,28.44,28.44,174.36,37.03,50.52,76.97,73.64,39.99,75.96,82.94,30.87,24.37,68.97,131.33,64.26,14.03,441.72,41.89,148.04,12.55,35.08,88.42,38.02
"124",73.42,34.77,36.08,124.11,393.63,27.7,35.66,59.8,141.44,28.27,28.27,174.5,37.32,50.45,76.78,73.65,41.15,75.78,83.49,30.16,24.34,69.84,130.46,64,13.79,446.29,41.9,145.46,12.68,35.37,88.5,37.91
"125",74.07,35.04,36.48,126.15,406.77,29,36.19,60.8,146.72,28.54,28.54,177.39,38.52,51.18,79.31,73.99,42.83,77.15,86.65,31.17,25.96,70.09,133.49,64.26,14.02,450.92,42.71,152.07,12.71,35.4,88.81,38.32
"126",73.13,35.17,36.94,127.11,413.75,28.85,35.33,61,147.28,28.75,28.75,178.77,39.33,52.08,81.02,73.49,43.26,76.97,86.64,31.36,25.5,70.1,134.45,64.41,14.21,442.17,42.33,152.61,12.36,35.75,88.61,37.15
"127",73.98,34.59,37.45,126.91,402.36,28.75,34.68,60.29,146.28,28.39,28.39,175.34,38.18,52.51,78.9,71.61,42.2,76.64,85.23,30.55,24.63,68.12,133.01,62.87,14.07,436.06,40.65,149.88,12.22,36,88.53,36.69
"128",73.73,34.48,36.72,126.11,405.66,28.73,35.62,60.17,147.28,28.1,28.1,173.89,39.11,52.58,78.68,72.69,42.91,76.58,84.7,30.69,24.79,70.63,131.2,62.88,13.92,429.89,41.53,150.03,12.46,35.65,87.86,37
"129",72.85,34.58,36.43,127.99,398.57,29.16,34.94,60.32,147.5,28.09,28.09,173.31,40.41,52.31,77.18,73.96,42.38,75.58,84.09,30.83,25.29,69.33,131.72,62.61,13.65,438.41,40.57,148.34,12.51,36.68,88.07,36.8
"130",73.51,34.93,37.3,131.94,408.2,29.71,35.48,59.92,149.3,28,28,173.99,39.34,51.53,78.83,74.29,42.67,75.39,85.41,31.87,24.64,69.8,134.07,63.71,13.77,439.98,42.05,148.99,12.67,37.55,88.7,37.92
"131",73.24,35.13,37.4,131.09,402.06,29.91,34.73,59.67,150.01,28.62,28.62,173.74,38.96,51.54,79.42,75.49,41.51,77.37,83.62,31.31,24.7,69.8,132.23,63.64,13.67,434.46,41.14,148.23,12.6,37.55,87.34,36.84
"132",73.47,34.92,36.62,130,396.34,29.01,34.86,58.79,148.98,29.06,29.06,170.14,38.13,52.19,78.59,73.44,40.52,76.36,81.79,30.83,24.76,68.04,129.08,63.89,13.76,432.76,41.06,146.65,12.53,37.55,86.13,36.67
"133",73.17,34.42,36.22,125.78,384.87,27.92,34.55,57.05,147.8,29.88,29.88,164.93,37.4,50.53,77.5,73.02,39.12,74.28,81.73,29.99,24.44,69.92,127,62.82,13.55,417.32,40.69,143.04,12.34,37.6,81.56,35.28
"134",74.84,34.61,37.31,130.9,386.15,28.63,35.01,58.34,146.1,31.79,31.79,171,37.87,51.03,79.39,73.83,40.35,75.18,84.4,31.03,25.54,70.23,131.76,65.57,13.94,429.26,41.76,149.25,12.75,36.86,83.27,36.84
"135",74.82,34.13,36.79,129.72,393.54,28.26,34.55,57.43,147.46,31.98,31.98,169.44,37.74,51.52,79.35,74.52,40.77,75.36,85.05,32.5,25.95,70.87,129.26,64.62,13.88,433.01,42.22,150.73,12.72,37.38,84.53,37.32
"136",73.94,33.44,36.9,129.24,386.39,28.95,34.63,57.15,142.8,31.45,31.45,166.8,37.75,51.11,77.81,75.69,40.07,74.06,84.77,32.76,24.94,71.47,126.67,64.91,13.76,426.42,42.07,148.68,12.65,37.4,83.08,36.5
"137",74.35,33.15,36.14,129.61,384.16,29.09,34.62,57.06,143.95,31.86,31.86,166.09,37.83,51.69,78.62,76.9,39.95,74,84.65,32.52,24.49,68.96,129.04,64.99,13.79,431.22,41.79,149.08,12.69,37.4,83.88,36.48
"138",73.65,32.95,36.09,127.39,377.38,28.82,34.38,56.07,142.37,32.42,32.42,164.25,37.07,51.3,76.96,76.68,39.73,73.99,83.19,32.82,24.97,70.28,127.89,64.93,13.51,425.31,41.03,151.18,12.53,37.49,82.45,35.8
