"","TLEVISA","WALMEX","SANMEX","PINFRA","PENOLES","ICA","OHLMEX","MEXCHEM","LIVEPOL","LALA","LAB","KOFL","KIMBER","IENOVA","ICH","GRUMA","GMEXICO","GFREGIO","GFNORTE","GFINBUR","GENTERA","GCARSO","FEMSA","GAP","CEMEX","ELEKTRA","BIMBO","ASUR","AMX","ALSEA","AC","ALFA"
"732",91.44,41.71,29.47,213.69,205.2,4.57,20.06,36.4,209.91,11.55,11.55,131.61,40.57,72.23,56.87,287.84,37.51,92.09,91.45,32.15,34.58,76.95,174.05,148.09,9.8,335.9,53.71,252.76,12.07,64.05,108.72,32.65
"733",90.2,41.42,28.71,215,210.63,4.09,20.25,36.7,210.62,11.16,11.16,131,40.96,72.39,55.97,282.04,36.89,91.3,90.54,31.81,34.79,75.14,173.46,144.76,9.68,335.45,52.11,254.22,12,64.98,107.28,32.68
"734",92.09,41.18,29.13,214.99,208.93,4.29,20.63,36.89,205.08,10.81,10.81,131.61,40.76,70.61,55.74,278.69,37.35,91.58,90.37,32.46,34.89,75.87,170.91,141.13,9.72,335.51,51.21,251.62,12.01,65.77,108.16,32.52
"735",92.41,42.03,28.46,214.15,213.62,4.3,21.18,37.24,200.85,10.48,10.48,133.43,40.59,71.56,54,286.74,37.84,91.79,90.52,32.11,33.72,76.14,170.29,144.76,9.82,338.84,51.05,253.8,12.19,65.6,109.97,33.09
"736",93,41.95,28.78,211.1,214.57,4.28,21.16,37.01,201.73,11.47,11.47,133,40.39,71.43,53.37,287.7,38.05,91.17,89.78,31.94,33.72,74.12,170.33,145.76,9.91,334.6,51.73,255.58,12.23,65.49,112.25,32.67
"737",93.4,42.7,29.06,210.42,213.14,4.27,21.14,37.98,200.32,11.87,11.87,133.1,39.8,71.07,53.71,291.32,38.15,91.29,91.62,32.38,34.02,73.24,169.91,143.34,10,334.57,51.5,253.82,12.34,66.1,110.59,32.83
"738",94.96,42.49,29.61,215.75,199.97,4.28,21.29,39.12,201.63,11.88,11.88,134.55,39.7,71.45,54.26,290.2,38.21,92.32,94.3,32.73,34.42,73.84,170.97,142.89,10.42,329.8,53.47,255.07,12.57,68.93,112.8,32.76
"739",95.46,42.84,30.53,216.93,202.54,4.39,22.18,39.21,205.59,11.86,11.86,134.54,40.63,72.6,54.46,293.87,38.87,93.97,93.83,33.85,34.26,75.27,171.65,141.94,10.41,327.2,53.91,258.7,12.9,68.98,114.58,32.81
"740",95.17,43.1,30.64,217.19,206.79,4.34,22.39,39.59,200.37,11.92,11.92,136.07,40.01,71.97,55.37,289.35,39.51,91.85,94.12,34.18,34.52,76.29,172.12,143.63,10.47,325.73,52.72,255.5,13.04,68.8,112.73,32.75
"741",98.6,43.6,30.35,220.36,209.91,4.29,23.14,39.83,196.62,11.9,11.9,137.55,39.96,71.13,55.96,284.02,39.54,90.69,95,34.02,34.4,77.59,169.28,140.85,10.53,328.21,52.33,250.93,13.11,67.69,112.18,32.37
